LOC,Addr,LON,LAT
"Huntington, WV","Huntington, West Virginia",-82.44545999999997,38.420160000000074
"Houston, TX","Houston, Texas",-95.36967999999996,29.760580000000054
"Kansas City, Missouri","Kansas City, Missouri",-94.58310999999998,39.103440000000035
Denver,"Denver, Colorado",-104.99201999999997,39.74001000000004
Milwaukee,"Milwaukee, Wisconsin",-87.90686999999996,43.04200000000003
"North Augusta, SC","North Augusta, South Carolina",-81.97007999999994,33.495780000000025
Kingston,"Kingston, New York",-73.99736999999998,41.92698000000007
"Santa Ana, CA","Santa Ana, California",-117.87445999999994,33.74958000000004
"Fremont, NE","Fremont, Nebraska",-96.49859999999997,41.43441000000007
"Foxborough, MA","Foxborough, Town of Foxborough, Massachusetts",-71.24838999999997,42.065870000000075
"Wilmington, MA","Wilmington, Massachusetts",-71.17277999999997,42.547420000000045
"Omaha, NE","Omaha, Nebraska",-95.94025999999997,41.260680000000036
"Concord, NC","Concord, North Carolina",-80.58119999999997,35.410430000000076
"Norfolk, Virginia","Norfolk, Virginia",-76.28513999999996,36.84686000000005
"West Des Moines, Iowa","West Des Moines, Iowa",-93.75694,41.56770000000006
"Chantilly, Virginia","Chantilly, Virginia",-77.43891999999994,38.88675000000006
"Paradise Valley, AZ","Paradise Valley, Arizona",-111.93883999999996,33.531180000000056
"Waco, Texas","Waco, Texas",-97.1495,31.571820000000052
"Hampton, VA","Hampton, Virginia",-76.34511999999995,37.02779000000004
"Jersey City, NJ","Jersey City, New Jersey",-74.04384999999995,40.71748000000007
San Anselmo,"San Anselmo, California",-122.56258999999994,37.975060000000035
"Spartanburg, SC","Spartanburg, South Carolina",-81.93493999999998,34.948380000000036
"San Jose, CA","San Jose, California",-121.88541999999997,37.33865000000004
"San Mateo, CA","San Mateo, California",-122.31484999999998,37.54704000000004
Baltimore,"Baltimore, Maryland",-76.60925999999995,39.290580000000034
"Westlake Village, CA","Westlake Village, California",-118.81876999999996,34.14976000000007
"Eugene, OR","Eugene, Oregon",-123.08853999999997,44.049920000000036
"Fort Wayne, IN","Fort Wayne, Indiana",-85.13830999999998,41.080260000000074
"Springfield, Missouri","Springfield, Missouri",-93.29159,37.20897000000008
"Navasota, TX","Navasota, Texas",-96.08808999999997,30.388440000000053
Detroit,"Detroit, Michigan",-83.04799999999993,42.33168000000006
"Philadelphia, PA","Philadelphia, Pennsylvania",-75.16217999999998,39.95222000000007
"San Luis Obispo, CA","San Luis Obispo, California",-120.66274999999996,35.28579000000008
"Knoxville, TN","Knoxville, Tennessee",-83.92102999999997,35.960680000000025
"Hampton, Virginia","Hampton, Virginia",-76.34511999999995,37.02779000000004
"Appleton, WI","Appleton, Wisconsin",-88.41713999999996,44.261780000000044
"Huntington, West Virginia","Huntington, West Virginia",-82.44545999999997,38.420160000000074
"Silver Spring, MD","Silver Spring, Maryland",-77.02913999999998,38.99693000000008
Saratoga,"Saratoga, California",-122.01400999999998,37.27105000000006
"Asheville, NC","Asheville, North Carolina",-82.55311999999998,35.59844000000004
"Naperville, Illinois","Naperville, Illinois",-88.15301999999996,41.770830000000046
"Lewisville, TX","Lewisville, Texas",-96.99593,33.04722000000004
Belfast,"Belfast, Maine",-69.00796999999993,44.42587000000003
"Hendersonville, NC","Hendersonville, North Carolina",-82.45865999999995,35.31557000000004
"Williamsport, PA","Williamsport, Pennsylvania",-77.00140999999995,41.24094000000007
"Saratoga Springs, NY","Saratoga Springs, New York",-73.78449999999998,43.08390000000003
Salt Lake City,"Salt Lake City, Utah",-111.88821999999999,40.76031000000006
Downers Grove,"Downers Grove, Illinois",-88.00634999999994,41.79530000000005
"Spring, TX","Spring, Texas",-95.41929,30.084530000000033
"Lompoc, CA","Lompoc, California",-120.45788,34.640480000000025
"Morrisville, North Carolina","Morrisville, North Carolina",-78.83014999999995,35.82305000000007
"Manhattan Beach, CA","Manhattan Beach, California",-118.41085999999996,33.887200000000064
"Ames, Iowa","Ames, Iowa",-93.62019999999997,42.025340000000035
Manchester,"Manchester, New Hampshire",-71.46309999999994,42.99120000000005
"Altoona, PA","Altoona, Pennsylvania",-78.39889999999997,40.50719000000004
Nederland,"Nederland, Texas",-93.99199,29.97839000000005
"Dallas, Texas","Dallas, Texas",-96.79539999999996,32.77815000000004
"Longmont, Colorado","Longmont, Colorado",-105.10021999999998,40.163940000000025
"Blacksburg, VA","Blacksburg, Virginia",-80.41089999999997,37.226530000000025
"Salem, Massachusetts","Salem, Massachusetts",-70.89580999999998,42.52240000000006
"Waterloo, IA","Waterloo, Iowa",-92.34193999999997,42.49329000000006
"Kennesaw, GA","Kennesaw, Georgia",-84.61675999999993,34.02344000000005
"Fresno, California","Fresno, California",-119.78562,36.740770000000055
Virginia Beach,"Virginia Beach, Virginia",-76.05961999999994,36.75528000000004
"Tampa, Florida","Tampa, Florida",-82.45926999999995,27.946530000000052
"Destin, FL","Destin, Florida",-86.49565999999999,30.39329000000004
"Albany, NY","Albany, New York",-73.75520999999998,42.651550000000036
Louisville,"Louisville, Kentucky",-85.76665999999993,38.254890000000046
"Warrenton, VA","Warrenton, Virginia",-77.79550999999998,38.71362000000005
"Concord, California","Concord, California",-122.02582999999998,37.98165000000006
"Hoover, AL","Hoover, Alabama",-86.80602999999996,33.38791000000003
"Highlands Ranch, CO","Highlands Ranch, Colorado",-104.99726999999996,39.547960000000046
"Boulder, Colorado","Boulder, Colorado",-105.27923999999996,40.01574000000005
"Cincinnati, OH","Cincinnati, Ohio",-84.45688999999999,39.16200000000004
"Gainesville, FL","Gainesville, Florida",-82.32277999999997,29.651950000000053
"Winter Garden, FL","Winter Garden, Florida",-81.58839999999998,28.565330000000078
"Anoka, MN","Anoka, Minnesota",-93.38996999999996,45.19833000000007
"Denton, TX","Denton, Texas",-97.13161999999994,33.21659000000005
"Baton Rouge, Louisiana","Baton Rouge, Louisiana",-91.18663999999997,30.443350000000066
"Richmond, VA","Richmond, Virginia",-77.43364999999993,37.54070000000007
"Irvine, CA","Irvine, California",-117.82590999999996,33.68730000000005
"Moorpark, CA","Moorpark, California",-118.88221000000001,34.287060000000054
"Toledo, OH","Toledo, Ohio",-83.53625999999997,41.65381000000008
"Grand Forks, ND","Grand Forks, North Dakota",-97.03202999999996,47.92408000000007
Ann Arbor,"Ann Arbor, Michigan",-83.74846999999993,42.28210000000007
